City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Castro,BR,63.48,light rain,-24.7911,-50.0119,CHACARA BAILLY
250,Khuzdar,PK,76.96,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
251,Berlevag,NO,51.8,clear sky,70.8578,29.0864,Kvitbrakka
254,Ivanava,BY,50.09,scattered clouds,52.1451,25.5365,Bed&Breakfast Valeria
255,Sao Francisco Do Sul,BR,72.12,moderate rain,-26.2433,-48.6381,Hotel Kontiki
257,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
260,Hamilton,US,72.25,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
264,Wladyslawowo,PL,60.94,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
265,Ancud,CL,51.33,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
266,Sorland,NO,53.67,moderate rain,67.667,12.6934,Sjybrygga fiskecamp
269,Ibra,OM,77.56,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
270,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
272,Rocha,UY,56.7,few clouds,-34.4833,-54.3333,Beleza Pura B&B
273,La Ronge,CA,61.02,broken clouds,55.1001,-105.2842,Northland Motor Hotel
274,Sawtell,AU,60.82,broken clouds,-30.3833,153.1,Island Beach House Sawtell
276,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
277,Biloela,AU,64.78,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
279,Leh,IN,51.58,clear sky,34.1667,77.5833,Hotel Ladakh Greens
280,Furtwangen,DE,56.97,overcast clouds,48.05,8.2,Landhotel Thälerhäusle Ochsen
282,Suixi,CN,76.46,overcast clouds,33.8907,116.7747,Campanile Hotel
283,Shahreza,IR,63.32,clear sky,32.0339,51.8794,خوابگاه
284,Kapit,MY,73.72,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
285,Songea,TZ,68.9,clear sky,-10.6833,35.65,mtakuja
288,Kasongo,CD,73.94,light rain,-4.45,26.6667,Guest Hôtel
290,Ugoofaaru,MV,82.18,clear sky,5.6667,73.0,Ungoofaaru Inn
292,Tanggu,CN,64.36,light rain,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
293,Kiama,AU,62.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
295,Bacolod,PH,77.22,light rain,10.6667,122.95,Planta Hotel & Residences
297,Nara,JP,70.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
299,Isiro,CD,67.14,overcast clouds,2.7739,27.616,Guest House Hewa Bora
301,Wamba,NG,75.87,few clouds,8.9333,8.6,Roma Zee Guest House Annex
302,Challans,FR,58.96,clear sky,46.8436,-1.8749,Citotel Le Challans
304,Orthez,FR,57.47,overcast clouds,43.4884,-0.7724,Hotel Kyriad Orthez
306,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
307,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
310,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
311,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
317,Haapiti,PF,80.33,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
318,Moose Factory,CA,60.8,clear sky,51.2585,-80.6094,Moosonee Lilypad
320,Emerald,AU,64.54,light rain,-23.5333,148.1667,The Irish Village
325,Vestmannaeyjar,IS,50.99,scattered clouds,63.4427,-20.2734,Glamping & Camping
326,Samarai,PG,79.77,scattered clouds,-10.6167,150.6667,Nuli Sapi
328,Malakal,SS,74.34,clear sky,9.5334,31.6605,Nile Palace Hotel
329,Jawala Mukhi,IN,72.37,clear sky,31.8833,76.3167,SPOT ON 37985 Hotel Maya
330,Jiangyou,CN,72.39,light rain,31.7667,104.7167,Shangping Shuyuan Inn
332,Tibati,CM,68.59,light rain,6.4667,12.6333,Tibati Hotel
333,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Punto de encuentro
334,Scarborough,GB,55.51,clear sky,54.2797,-0.4044,The Grand Hotel Scarborough
336,Marienburg,PL,63.95,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
337,Vanimo,PG,76.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
339,Hasaki,JP,64.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
341,Finnsnes,NO,54.21,overcast clouds,69.2296,17.9811,Finnsnes Hotel - A SNR Hotel
343,Honiara,SB,77.34,scattered clouds,-9.4333,159.95,Heritage Park Hotel
346,Salinopolis,BR,83.34,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
347,Shingu,JP,72.52,overcast clouds,33.7333,135.9833,Shingu UI Hotel
348,Jalu,LY,75.96,clear sky,29.0331,21.5482,صاحبة الفخامة
350,Rawson,AR,60.71,few clouds,-43.3002,-65.1023,Hosteria Sampedro
351,Trelew,AR,63.41,few clouds,-43.249,-65.3051,Hotel Touring Club
352,Bandarbeyla,SO,78.6,overcast clouds,9.4942,50.8122,JABIR HOTEL
354,Ewa Beach,US,80.69,light intensity drizzle,21.3156,-158.0072,Uncle Junior Robert
355,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
356,Keningau,MY,72.05,overcast clouds,5.3378,116.1602,Sabindo Hotel
357,Temba,ZA,68.11,clear sky,-25.3803,28.2631,Gene's Guesthouse
358,Montlucon,FR,52.7,overcast clouds,46.3333,2.6,Hotel De La Gare
359,Mendi,PG,51.6,scattered clouds,-6.1761,143.6513,Kiburu Lodge
360,Cervo,ES,58.96,few clouds,43.6702,-7.4101,Hotel Spa Galatea
361,Bowen,AU,71.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
362,Muros,ES,62.83,few clouds,42.7762,-9.0603,Apartment Av. Castelao
364,Gizo,SB,81.63,few clouds,-8.103,156.8419,Imagination Island
365,Zanjan,IR,60.48,clear sky,36.6736,48.4787,Qasr Hotel
366,Seoul,KR,71.04,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
367,Lakes Entrance,AU,59.58,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
368,Harnosand,SE,51.82,light rain,62.6323,17.9379,First Hotel Stadt
369,Marsabit,KE,74.1,overcast clouds,2.3284,37.9899,Chicho Hotel
370,Ocampo,MX,65.95,overcast clouds,21.65,-101.5,Casa de ratas
373,Takoradi,GH,78.1,overcast clouds,4.8845,-1.7554,Raybow International Hotel
374,Dossor,KZ,52.2,overcast clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
375,Ambulu,ID,74.73,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
377,Hobyo,SO,78.94,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
381,Sandane,NO,59.22,light rain,61.7728,6.215,Gloppen Hotel - by Classic Norway Hotels
383,Auki,SB,76.28,few clouds,-8.7676,160.7034,Auki Motel
384,Harper,LR,78.42,light rain,4.375,-7.7169,Screensaver
386,Skjervoy,NO,53.6,overcast clouds,70.0311,20.9714,Skjervøy Byggeservice AS
387,Cercal,PT,61.74,overcast clouds,37.806,-8.6715,Herdade Baia Baia
388,Dicabisagan,PH,78.06,light rain,17.0818,122.4157,Nancy Montanes Bernardo
389,Karaton,ID,81.95,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
390,Kavaratti,IN,81.63,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
392,Mehamn,NO,51.75,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
393,Lata,PT,61.81,clear sky,40.1629,-8.3327,Casa Maquia
397,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
398,Saint-Pierre,RE,73.08,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
400,Jipijapa,EC,82.51,broken clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
404,Yol,IN,71.89,clear sky,32.1667,76.2,Amit Grover house
406,Barela,IN,75.0,overcast clouds,23.1,80.05,Shraddha Kewat House Jbp
407,Qingquan,CN,78.53,clear sky,30.4511,115.2559,Caiyuan Hotel
408,Singaraja,ID,76.96,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
409,Mehran,IR,83.68,clear sky,33.1222,46.1646,بوتیک زنانه بهار
412,Itarema,BR,83.8,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
413,Havre,FR,56.97,few clouds,49.5833,0.3333,gite bois jourdain
414,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
415,Lashio,MM,66.33,light rain,22.9333,97.75,Hotel CF Lashio - Burmese Only
417,Fortuna,US,61.72,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
418,Bridlington,GB,55.89,clear sky,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
419,Inhambane,MZ,75.18,scattered clouds,-23.865,35.3833,Oceano
420,Bell Ville,AR,70.66,clear sky,-32.6259,-62.6887,Hotel Central
421,Ratzeburg,DE,67.21,light rain,53.7,10.7667,Hansa Hotel Ratzeburg
423,Kanniyakumari,IN,79.99,overcast clouds,8.0833,77.5667,Sparsa
424,Nambour,AU,66.85,light rain,-26.6333,152.95,Nambour Lodge Motel
425,San Lorenzo,PY,74.59,overcast clouds,-25.3333,-57.5333,Hotel del Sur
427,Espanola,US,72.72,overcast clouds,35.9911,-106.0806,Santa Claran Hotel Casino
428,Guider,CM,83.71,few clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
429,Zhanakorgan,KZ,50.07,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
430,Lewistown,US,82.94,few clouds,40.5992,-77.5714,Quality Inn & Suites
432,Corinto,GR,69.89,broken clouds,37.9407,22.9573,Ephira Hotel
433,Xam Nua,LA,65.37,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
435,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
438,Rypefjord,NO,51.55,clear sky,70.6333,23.6667,Skytterhuset
439,Ruidoso,US,69.04,clear sky,33.3317,-105.673,Inn of the Mountain Gods
444,Ejido,VE,76.24,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
449,Kloulklubed,PW,83.19,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
451,Tura,IN,71.78,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
452,Banjar,ID,76.91,few clouds,-8.19,114.9675,The Hamsa Resort
453,Tabou,CI,78.42,overcast clouds,4.423,-7.3528,hotêl doufoulougou
454,Reconquista,AR,69.84,broken clouds,-29.15,-59.65,Grand Hotel
455,Kerema,PG,76.41,broken clouds,-7.9631,145.7785,Frena Lodge
458,Segrate,IT,66.49,scattered clouds,45.4942,9.3001,Hotel Motel MIAMI Milano
460,Zhoucheng,CN,69.69,overcast clouds,35.9122,116.3117,Yingbin Restaurant
461,Yanam,IN,77.09,clear sky,16.7333,82.2167,The Regency Hotel
