City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Gusau,NG,2021-10-01 01:36:13,12.1628,6.6614,75.85,74,30,5.37
99,Chuy,UY,2021-10-01 01:36:13,-33.6971,-53.4616,59.68,94,100,13.76
100,Beringovskiy,RU,2021-10-01 01:36:13,63.05,179.3167,30.16,77,96,16.96
101,Aksu,CN,2021-10-01 01:32:48,41.1231,80.2644,68.0,21,2,4.05
102,Puerto Ayora,EC,2021-10-01 01:36:14,-0.7393,-90.3518,70.0,92,45,6.6
103,Stirling,GB,2021-10-01 01:33:46,56.119,-3.9368,54.99,97,100,4.18
104,Udachnyy,RU,2021-10-01 01:36:14,66.4167,112.4,37.51,46,28,2.82
105,Calamar,CO,2021-10-01 01:36:15,10.2511,-74.9146,84.15,91,42,5.44
106,Cayeli,TR,2021-10-01 01:36:15,41.0923,40.7292,59.56,94,100,7.43
107,Zheleznodorozhnyy,RU,2021-10-01 01:36:16,55.7503,38.0042,42.37,84,10,1.74
108,Muncar,ID,2021-10-01 01:36:16,-8.4333,114.3333,81.16,72,95,5.39
109,Upernavik,GL,2021-10-01 01:31:53,72.7868,-56.1549,32.52,72,100,15.73
110,Yeppoon,AU,2021-10-01 01:36:17,-23.1333,150.7333,67.78,72,86,6.15
111,Lagoa,PT,2021-10-01 01:36:17,39.05,-27.9833,70.03,86,20,3.83
112,Juneau,US,2021-10-01 01:35:04,58.3019,-134.4197,50.05,96,90,5.01
113,Sharjah,AE,2021-10-01 01:32:16,25.3573,55.4033,86.02,81,0,4.61
114,Leningradskiy,RU,2021-10-01 01:36:18,69.3833,178.4167,26.49,93,100,13.11
115,Touros,BR,2021-10-01 01:36:18,-5.1989,-35.4608,77.9,81,21,14.81
116,Plymouth,US,2021-10-01 01:36:19,41.8334,-70.8328,57.04,76,90,5.75
117,Cabo San Lucas,MX,2021-10-01 01:36:19,22.8909,-109.9124,85.3,65,1,6.91
118,Karpogory,RU,2021-10-01 01:36:20,64.0019,44.4451,43.3,91,100,3.94
119,Kapaa,US,2021-10-01 01:36:20,22.0752,-159.319,84.18,67,20,3.0
120,Buriti Bravo,BR,2021-10-01 01:36:20,-5.8372,-43.8336,75.69,74,19,3.06
121,Saskylakh,RU,2021-10-01 01:36:21,71.9167,114.0833,22.19,91,99,2.66
122,Khatanga,RU,2021-10-01 01:33:44,71.9667,102.5,29.43,96,98,6.38
123,Carnarvon,AU,2021-10-01 01:36:21,-24.8667,113.6333,75.27,73,90,14.97
124,Vacaria,BR,2021-10-01 01:36:22,-28.5122,-50.9339,56.71,97,100,13.44
125,Norman Wells,CA,2021-10-01 01:36:22,65.282,-126.8329,41.04,70,75,6.91
126,Faanui,PF,2021-10-01 01:36:22,-16.4833,-151.75,79.12,73,2,17.31
127,Elbistan,TR,2021-10-01 01:36:23,38.2059,37.1983,52.48,61,5,2.93
128,Okha,RU,2021-10-01 01:35:20,53.5739,142.9478,55.38,69,84,9.26
129,Maykor,RU,2021-10-01 01:36:23,59.0059,55.88,42.93,94,100,4.7
130,Ahipara,NZ,2021-10-01 01:36:23,-35.1667,173.1667,60.66,53,0,6.58
131,Mangrol,IN,2021-10-01 01:34:02,21.1167,70.1167,80.78,87,97,13.4
132,Bukama,CD,2021-10-01 01:36:24,-9.2,25.85,71.01,81,77,3.62
133,Havre,FR,2021-10-01 01:36:24,49.5833,0.3333,56.97,77,90,14.97
134,Coolum Beach,AU,2021-10-01 01:36:25,-26.5333,153.1,70.11,80,100,11.95
135,Hasaki,JP,2021-10-01 01:36:25,35.7333,140.8333,66.6,96,100,34.23
136,Ilulissat,GL,2021-10-01 01:36:25,69.2167,-51.1,30.22,59,75,3.44
137,Port Hardy,CA,2021-10-01 01:36:26,50.6996,-127.4199,55.58,82,75,6.91
138,Kotido,UG,2021-10-01 01:36:26,2.9806,34.1331,71.65,65,82,7.9
139,Saldanha,ZA,2021-10-01 01:36:26,-33.0117,17.9442,53.65,90,0,11.5
140,Ixtapa,MX,2021-10-01 01:36:27,20.7,-105.2,83.43,74,90,4.61
141,Liverpool,GB,2021-10-01 01:36:27,53.4106,-2.9779,58.17,88,100,1.99
142,Kharan,PK,2021-10-01 01:36:27,28.5833,65.4167,82.62,44,29,2.33
143,Cidreira,BR,2021-10-01 01:33:51,-30.1811,-50.2056,63.59,94,100,20.65
144,Corpus Christi,US,2021-10-01 01:36:28,27.8006,-97.3964,82.4,84,75,11.01
145,Kargasok,RU,2021-10-01 01:35:43,59.0556,80.8572,35.55,85,100,6.26
146,Yovon,TJ,2021-10-01 01:36:28,38.3141,69.0378,63.81,33,0,3.04
147,Half Moon Bay,US,2021-10-01 01:34:52,37.4636,-122.4286,87.62,60,1,4.61
148,Vestmannaeyjar,IS,2021-10-01 01:36:29,63.4427,-20.2734,44.04,73,100,26.6
149,Adrar,MR,2021-10-01 01:36:29,20.5022,-10.0711,91.17,14,67,8.03
150,Plettenberg Bay,ZA,2021-10-01 01:36:30,-34.0527,23.3716,59.7,85,100,1.66
151,Vaasa,FI,2021-10-01 01:36:30,63.096,21.6158,46.42,81,90,8.05
152,Caravelas,BR,2021-10-01 01:36:30,-17.7125,-39.2481,72.48,90,0,3.78
153,Cape Town,ZA,2021-10-01 01:36:31,-33.9258,18.4232,59.41,74,0,13.8
154,Powell River,CA,2021-10-01 01:33:46,49.8496,-124.5361,61.07,88,20,8.05
155,Manta,EC,2021-10-01 01:33:16,-0.95,-80.7333,73.18,78,0,5.75
156,Nhulunbuy,AU,2021-10-01 01:36:31,-12.2333,136.7667,86.61,58,20,10.36
157,North Bend,US,2021-10-01 01:36:32,43.4065,-124.2243,65.25,92,90,11.5
158,Aklavik,CA,2021-10-01 01:34:27,68.2191,-135.0107,31.03,96,82,4.21
159,Castro,BR,2021-10-01 01:36:32,-24.7911,-50.0119,56.86,96,0,5.61
160,Vao,NC,2021-10-01 01:36:33,-22.6667,167.4833,70.83,86,9,22.1
161,Gorom-Gorom,BF,2021-10-01 01:36:33,14.4439,-0.2361,81.54,57,96,4.27
162,Torbay,CA,2021-10-01 01:35:32,47.6666,-52.7314,60.76,99,90,0.0
163,Azare,NG,2021-10-01 01:36:34,11.6765,10.1948,76.87,71,14,6.89
164,Bredasdorp,ZA,2021-10-01 01:36:34,-34.5322,20.0403,58.32,94,100,11.5
