City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Yerbogachen,RU,61.2767,108.0108,33.78,84,100,4.63,overcast clouds
109,Antsohihy,MG,-14.8796,47.9875,73.2,75,12,2.21,few clouds
110,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,11.5,few clouds
111,Avarua,CK,-21.2078,-159.775,75.25,73,75,8.05,broken clouds
112,Privas,FR,44.5833,4.5,61.54,97,100,5.3,light rain
113,Fermoy,IE,52.1358,-8.2758,51.31,94,94,5.57,overcast clouds
114,Bud,US,39.447,-86.1758,75.85,86,100,11.14,overcast clouds
115,Bethel,US,41.3712,-73.414,77.49,63,40,5.75,scattered clouds
116,Lacombe,CA,52.4668,-113.7353,66.74,31,0,10.36,clear sky
117,Itoman,JP,26.1247,127.6694,80.98,65,20,13.8,few clouds
118,Codrington,AU,-38.2667,141.9667,49.8,91,45,15.52,scattered clouds
119,Muroto,JP,33.2833,134.15,75.11,69,3,9.19,clear sky
120,Yellowknife,CA,62.456,-114.3525,52.41,50,20,11.5,few clouds
121,Iqaluit,CA,63.7506,-68.5145,44.33,61,75,5.01,broken clouds
122,Mount Isa,AU,-20.7333,139.5,76.77,23,75,8.05,light rain
123,Cayenne,GF,4.9333,-52.3333,89.64,74,75,4.0,broken clouds
124,Hobart,AU,-42.8794,147.3294,54.1,96,90,0.0,overcast clouds
125,Soyo,AO,-6.1349,12.3689,78.85,82,100,10.29,overcast clouds
126,La Orilla,MX,17.9833,-102.2333,85.73,63,9,6.31,clear sky
127,Buala,SB,-8.145,159.5921,78.75,84,57,2.06,broken clouds
128,Marfino,RU,55.7028,37.3822,43.09,90,100,0.0,mist
129,Port Hawkesbury,CA,45.6169,-61.3485,62.19,69,40,7.0,scattered clouds
130,Neryungri,RU,56.6709,124.6491,22.08,97,45,4.27,scattered clouds
131,Verkhoyansk,RU,67.5447,133.385,24.04,87,86,4.36,overcast clouds
132,Lethem,GY,3.3803,-59.7968,86.05,74,40,6.91,scattered clouds
133,Ponta Do Sol,PT,32.6667,-17.1,76.71,74,100,3.74,overcast clouds
134,Chokurdakh,RU,70.6333,147.9167,19.99,96,96,8.68,overcast clouds
135,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,73,40,12.66,scattered clouds
136,Antalaha,MG,-14.9003,50.2788,69.66,92,23,5.19,light rain
137,Tuatapere,NZ,-46.1333,167.6833,44.82,94,100,3.27,light rain
138,Broome,US,42.2506,-75.833,65.21,80,90,5.01,overcast clouds
